casting director	70 50
successful real estate agent I recommend	79 70 70 70 70 70
needed so what I would do is go on	31 40 31 31 31 37 40 40 40
people that live in another country but	67 67 70 43 50 50 71
it can go up to about 30 or $ 40 per thousand views	67 67 67 21 0 0 0 0 0 0 0 0 0
on them but instead i took that energy	40 40 40 40 37 10 10 41
totally makes sense yeah and so another	37 41 41 41 41 41 41
about you know having this marble statue	6 6 6 6 6 6 6
share with you a couple tips from two	77 80 80 80 79 79 79 79
bathroom but it actually makes a lot of	79 79 79 79 79 79 79 79
everyone is going to have learned	53 40 40 40 31 67
another really fun thing about becoming	40 40 40 40 67 40
have stairs that ' s gonna cost a lot more	79 79 79 79 79 70 79 70 70 79
in a college town you can rent out maybe	1 1 1 79 49 49 49 79 79
improvised scenario is to try to	50 50 50 71 53 53
theater they want to be	54 80 54 54 79
in the gym so that we ' re stronger in our	40 40 40 40 40 41 41 41 41 40 41
Again I ' m not saying I have the answers for this	41 41 41 41 41 41 71 71 71 71 71 71
as well as you ' re acting while you	67 67 67 40 40 40 37 40 67
successful in real estate you want to be	79 79 79 79 79 79 79 79
reel immediately this is the way to	40 40 40 40 40 50 49
some people think that getting an agent	77 77 77 77 77 77 50
for my auditions I don ' t use all seven	40 40 40 68 68 68 68 67 67 67
theater before they move into film and	0 0 0 0 0 0 0
that has a lot of my other videos about	41 68 68 41 41 41 68 68 41
nutrition side of it too yeah so all of	41 41 40 40 40 40 41 40 40
matter what it is it has to be something	67 64 64 64 64 64 64 64 64
here in the united states i know there	52 49 49 79 79 71 71 41
in industrial videos and industrial	71 71 40 40 49
which I think is true for a lot of us	58 67 67 67 67 67 67 40 49 50
you have control over that and if you	44 53 53 53 77 80 71 80
possible to become a working actor in my	70 70 70 70 70 70 79 79
you can either find a tenant yourself	31 40 37 31 31 31 31
that most people will consider hollywood	79 79 79 79 79 79
first it goes down from 50K to 27	58 37 19 13 40 58 58 55
is my friend Anne - Laure who runs a website called Ness Labs	49 49 52 43 43 43 53 53 80 79 52 80 43
years if you had	62 71 79 79
three hours when people think about it	49 49 22 22 22 49 49
single time so having a little recorder	70 67 40 40 40 67 67
consideration depending on where you	50 71 50 50 50
And that means that when I ' m doing	49 49 49 49 49 49 49 49 46
and gone through all the hoops and stuff	37 67 64 67 67 67 67 64
determine what price range you should be	40 40 40 40 71 71 71
my channel to see more content just like	61 61 61 62 62 70 70 70
become a real estate agent buy and sell	79 0 0 0 0 0 79 79
invest in it because a headshot is so	80 80 80 80 80 80 80 80
scene again it ' s a husband and a wife	41 40 50 50 50 50 49 40 40 40
stimulus but you ' re not as taxing you	49 49 49 49 49 49 49 49 49
phone number down on a back of a	70 71 40 44 44 71 71 71
you have no money left for your business	80 80 80 53 52 79 79 80
you ' ve moved in and started renting out	79 79 79 79 79 79 79 79 79
your very best presentation is key in this industry	41 71 71 71 71 68 71 71 71
one of the producers told me he said hey	76 79 79 79 79 79 79 79 79
clients coming my way for example many	79 79 79 79 79 79 79
update the course that often	40 40 40 40 40
for conversion rate	0 0 59
trying to make money they don ' t have	71 71 71 67 67 67 67 67 67
why and tell me why i am wrong i know	41 41 71 71 71 71 71 71 71 71
close on your property this is step	40 40 40 53 53 53 53
And even if you ' d invested like just before the crash	61 79 76 76 76 76 79 79 79 79 79 79
" Why don ' t you just make it a write off day ?"	52 52 52 52 52 52 52 52 52 52 52 52 52 52
is a bunch of information associated	50 50 44 71 71 41
worth a lot more than 50	70 79 79 79 79 70
doesn ' t necessarily mean that that movie	76 76 76 77 77 77 77 77
missing out on those huge gains of	31 31 31 28 28 28 31
someone from out of state whereas if	53 53 49 49 40 40 70
dedicated to high leverage housekeeping	61 61 61 61 58
by a solid 50 % despite COVID and everything going on	49 40 37 40 40 49 49 70 58 58 58
you need to think why you want to get a	71 79 49 49 79 79 79 79 79 79
starbucks versus making it at home	52 49 79 76 79 79
you know I didn ' t lose weight today I	41 41 41 49 49 49 50 41 41 49
to read every single word	41 40 40 40 43
document the things that you were learning along the way	0 0 0 0 0 0 0 0 0 0
which is about 3 % per year if you	0 0 0 0 0 0 0 0 0
you can add some personality but if your	79 79 79 79 79 79 79 71
then productivity kind of just takes care of itself	49 49 50 49 49 49 41 50 77
that the thing that we ' re doing or the work	40 41 41 41 41 41 41 49 50 41 49
I think I was making $ 100 a month	41 41 41 41 50 41 41 40 49
the reader their voice is louder than	76 76 73 76 76 77 77
she thought she was too ugly her name was Meryl Streep	41 41 41 71 71 71 70 68 41 41 41
is gonna be useful	41 41 41 41
you need to consider when choosing a	79 79 79 79 79 79 79
shame yourself for not having the	49 49 49 49 21 6
and put it on their scene partner to	20 24 51 51 50 50 50 50
feeling called to do it	79 79 79 79 79
if you ' ve been asked to perform	40 40 40 40 40 41 41 41
uh a couple shows i ' m gonna copy and	0 0 0 0 0 0 0 0 0 0
minimum for these numbers that you want	31 31 31 31 31 31 31
someone who does know what they are	49 49 49 71 71 71 71
hopefully that makes sense that ' s the	41 41 41 41 41 41 41 49
So again and I can ' t state this emphatically enough	34 34 52 79 70 70 70 70 70 52 52
agent because they want to see someone	70 70 79 79 79 79 79
they just weren ' t coming because i was i	52 79 79 79 79 49 49 49 49 49
" on the paper that we ultimately try and publish	71 71 71 71 70 70 71 71 71 67
actually make money online because you	1 1 1 1 1 1
offer online like if you just look on	0 0 0 0 0 0 0 0
enjoying this interview do me a solid	77 77 77 77 77 77 77
and kind of initiating banter a bit when I can	67 67 67 67 67 67 68 76 79 70
ohio back in 2008 and in 2016	71 71 71 71 71 77 77
knowledge to get through real estate	79 79 79 79 70 79
want to share with you three headshot	77 77 77 77 77 77 77
And I ' m gonna tell you a little bit more about that	67 67 67 67 67 70 70 70 76 70 70 70 70
at the same time so doing that will make	71 40 49 49 40 49 52 79 70
call up the union make a phone call and	67 67 67 67 67 67 67 67 67
very important and it ' s your first	50 79 79 77 77 77 77 77
talk about something you ' re genuinely	79 79 79 79 79 79 79
look like a professional actor and not	40 41 41 41 71 71 71
college there are many other types of	70 70 67 71 71 71 71
that this business currently generates	41 41 44 49 49
audition and they tell you that your	67 67 67 71 71 50 23
we don ' t list the directors and that	0 0 0 0 0 0 0 0 0
see any resumes that say	0 0 0 0 0
short film or to try to make an	50 49 49 41 41 41 41 41
know they have solid experience teaching	79 80 53 79 79 79
other options too before buying	31 31 31 31 40
you can do real estate part time i will	79 79 79 79 79 79 79 79 79
because we all start from somewhere my	0 0 0 0 0 0 0
just $ 50 , 000 down that equates to a down	0 0 0 0 0 0 0 0 0 0 0
smoothly so always ask them if they have	79 79 79 79 79 79 79 79
Bye bye	49 40
I am in the middle of writing a book	79 79 79 79 79 52 52 43 44
they ' re gonna make your ROI even better	79 79 79 79 79 79 79 79 79
and then i drove two hours back home to	35 35 44 25 25 43 71 71 71
look like	49 49
and just have that money sitting in your bank account	70 70 67 67 67 67 71 79 79 79
items that are just costing us way too	40 40 40 40 40 40 40 40
getting signed and getting	80 77 77 77
something that may have worked for	46 46 37 37 37 46
you can use to market yourself and	79 79 79 79 79 79 79
commercial audition	0 0
theater i ' d love to know what your	49 76 76 76 76 68 41 71 71
taking acting classes	79 52 52
with a project for casting purposes so	41 41 41 41 41 41 50
reminds me of one of my favorite	71 71 71 71 71 71 71
high because they ' re not going to spend	79 79 79 79 79 79 79 79 79
should be investing something into the stock market	79 52 79 79 52 52 23 50
is not to book the role our job is to	0 0 0 0 0 0 0 0 0 0
thanks guys for watching these are	76 73 73 73 80 49
they ' re still laughing and then they do	23 23 23 50 49 76 73 37 37
interested in joining my brokerage we	40 40 40 40 40 13
put a link down in the description below	38 41 41 41 41 41 41 50
And the past is no real indication of future performance	67 67 67 67 67 67 49 51 51 51
getting started it ' s important to be	71 71 79 79 79 79 79 79
up whenever your tent moves out you	79 79 79 79 61 79 79
embarrassed and the thing is we never	71 71 71 49 79 79 49
acting coaches or teachers or personal	49 49 49 49 49 49
networking door	31 40
make sure to subscribe to this channel	41 41 41 41 41 37 40
right and and because of that taking	79 79 79 79 79 79 79
of getting in touch with you if someone	0 0 0 0 0 0 0 0
differences and it comes down to okay is	37 32 40 32 41 41 41 32
belichick who is a local pittsburgh	71 71 71 71 71 71
away content for free people won ' t buy	71 68 68 49 49 49 49 49 49
really just concerned about the film and	71 80 50 77 77 68 68
hundred thousand dollars of profit	31 31 40 31 13
script for either audition purposes or	49 41 71 71 67 67
really get to show that reacting part of	40 40 67 70 70 61 61 70
it so	71 71
cesar hobby and go and apply now if ever	74 68 71 71 71 71 71 44 44
agent and we ' re not talking about being	49 76 77 77 77 77 80 80 80
casting director	61 40
so many different streaming services	62 61 79 79 79
helped me book over fifty movies and	76 76 76 76 76 76 80
actor and free wi - fi and a balcony and a	71 71 71 41 41 41 41 41 79 79 79
When you read these books	52 52 52 52 52
not having enough money to pay your	40 43 70 70 50 50 80
pay directly for the product	49 49 49 49 50
And that is sort of the sort of fun	67 67 67 49 49 80 50 49 49
whereby hopefully you kind of learn together	61 49 79 79 67 76 76
these different things	31 31 31
or if you got that from learning in a	79 79 79 79 80 77 77 50 50
there is something that happens during	40 71 67 67 67 67
conversation with a lot of people as	40 41 41 41 50 50 49
essentially it was just like I just	50 50 50 41 49 49 49
better position to succeed because it	42 51 51 51 51 51
because having those consistent bookings	79 52 79 79 79
for something is that you identify a problem that they have	49 49 49 49 49 49 49 49 49 49 40
So new hair I ' ve got my Invisalign braces on	41 71 71 40 40 40 70 71 52 79 70
it ' s not the first thing you should be	76 76 76 71 71 71 71 71 71 71
that audition by mistake but in	79 79 79 70 70 70
oh come on mate that ' s obvious	67 67 67 64 64 64 64 64
ahead of themselves	70 70 67
have a little income and have it be	46 19 46 46 46 46 50 50
that was able to bring in an equity	79 79 79 79 79 79 79 52
idea how to answer it but the whole	79 71 71 71 71 71 41 41
uniform all the other actors myself	79 77 76 79 76 77
aside jobs sometimes multiple side jobs	52 52 52 52 52 52
when he dies that I become the president	79 79 79 79 79 79 79 79
duplex or triplex and pay little to	79 79 79 79 76 79 79
use most people are going to place a	40 40 40 31 31 41 40 37
really terrible looking banner thing to	76 76 76 76 77 77
And so Brilliant are gonna pay me	71 71 71 71 71 71 68
to sell the house unless you are absolutely desperate	79 79 79 79 79 76 76 76 76
ask your real estate agent to send you	71 71 44 44 44 53 80 53
person to be around and you ' re in a	41 71 71 71 71 77 77 77 41 41
highs and lows and successes and	64 64 68 67 64 67
much for spending some time here with me	41 41 41 71 70 70 70 70
that are extremely rewarding	79 70 70 71
You need to actually have the house	80 80 80 80 79 40 31
onto my website or with the way that	77 77 77 80 80 68 68 49
course if you ' re very very serious if	40 40 37 37 37 67 67 67 67
some people don ' t like to give out their	0 0 0 0 0 0 0 0 0 0
10 % in Amazon 10 % in Tesla 10 % of Netflix	40 40 40 40 40 40 11 11 11 11 0 0
audition that are just as significant	71 71 68 71 80 80
of the clothes i buy are on sale it	61 61 61 61 70 79 79 70 70
atlanta ' s initiation fee	64 64 64 67 67
they gave i think four or five	70 70 67 67 67 67 40
it doesn ' t and do we do some bicep curls	40 40 40 40 40 41 41 40 40 41 41
mailing list of 20 , 000 people who know	21 21 21 21 21 21 21 21 21
get your stuff out there so that people	49 76 76 76 76 76 76 79
And the most important of those is actually watch time	0 0 0 41 41 49 70 70 67 67
understand that you will have to pay	70 70 70 70 49 49 49
now if i ' m an agent	49 40 40 40 40 40 49
forward to in the future	76 41 41 71 71
way the camera is not going to be moving	53 53 47 23 47 50 50 50 21
no bearing on what your future success	79 77 77 77 77 77 68
the process but i think as teenagers or	79 79 79 79 79 79 79 79
i ' m learning new things that i will be	50 50 50 50 50 41 41 41 41 68
day and how do we keep how do we keep	41 49 49 49 49 49 49 49 49 40
the acting career center here to help	71 71 71 71 68 64 64
that happened	50 49
break out of that lower to middle class	71 40 40 40 40 43 52 79
and then there was a patient and a nurse	79 79 79 79 79 79 79 79 79
but mostly it ' s based on how much advertisers	40 40 40 40 40 67 67 67 71 71
porcelain tiles are really cheap they	79 79 79 79 79 79
over this one why wait for	41 41 41 41 41 41
later all right thank you so much for	71 67 67 67 71 71 71 71
potentially help you in the future oh	71 71 71 41 50 41 41
channel to get more videos on acting	80 80 80 80 80 80 76
knowledge on what it takes to be a	70 70 70 70 70 70 70 79
in this case a house that ' s worth	53 53 53 52 53 52 52 52 40
lower and lower that means that your	79 79 79 79 79 79 79
go to your website they can go to the	41 40 40 41 41 41 50 50 50
simply did not take enough practice	40 40 40 40 49 40
the acting career center here to help	71 71 71 71 68 67 67
and to redo it and find out but a lot of	41 41 49 49 41 41 41 41 41 41 41
and then add this line and then	79 79 79 79 79 79 79
seeing that every day that ' s that ' s	49 49 49 49 49 49 49 49 49 49
if you have no experience at all stay	79 49 40 71 71 71 71 71
So everyone ' s invested 1 million each	41 19 19 19 46 37 46 41
it the key is just to be very flexible	40 40 40 70 70 40 40 40 79
you hold on commence your work and baby	68 68 71 71 71 68 68 71
if you like this video please give it a	79 52 52 52 76 69 78 78 50
minutes a day do they can do it at home	40 32 32 40 40 37 40 40 14 40
it was a real surprise when i showed up	41 41 41 41 41 41 41 41 41
Well it ' s a lot harder	67 67 67 67 67 67 40
And my favorite blogger Mr Money Mustache	76 76 76 67 67 67 67
or i put a link down in the description	44 41 71 71 71 71 71 71 71
for having ideas not for storing them	43 43 43 52 25 25 25
independence then hit the playlist over	71 37 37 37 67 70
because you bought it at $ 79 in February	53 52 52 52 52 25 25 52 22
to the private mortgage insurance	70 70 70 79 79
price it higher than that ' s probably not	43 43 43 43 79 79 79 43 43
that next year this home is gonna be	0 0 0 0 0 0 0 0
gigabytes of files per day or per month	31 61 61 79 79 43 79 70
whole nother thing so practice how to	79 79 79 50 68 41 41
guarantee you your future self is going	49 19 19 49 49 49 49
to around $ 682 per week in purely passive income	63 63 63 63 63 63 58 58 58 58
about other people judging you because they ' re really not	79 79 79 79 79 79 79 79 79 79 79
per month meant that i was saving close	79 79 79 79 79 79 79 79
And thank you Skillshare for sponsoring this video	41 41 41 47 47 47 47 41
the more years you spend in the market	41 41 40 40 40 40 40 40
that work in the film and television	50 50 80 80 53 53 71
that I can basically eat for free	32 32 33 33 33 32 32
remember this is a new skill set so	49 68 68 40 67 70 70 77
is doing film competitions now there are	41 40 40 41 41 49 49
and I ' ll see you in the next video bye	79 79 79 79 70 49 49 76 67 67 58
the union is and	71 71 76 80
for the entirety	77 77 79
hundred five hundred thousand dollars	31 31 31 31 31
like literally every company in the top in the S & amp ; P 500	76 76 76 76 76 76 76 76 79 79 79 79 79 79 79
learning and i can ' t wait to see you on	71 71 71 71 71 71 71 71 71 0 0
we ' ve heard that let me tell you what a	41 41 41 71 71 71 41 41 41 41 40
four different ways to get auditions	77 77 68 68 71 71
of the shoot a callback is a	71 70 70 70 67 62 62
I only named a few but these are some of	52 79 79 79 71 71 79 62 70 79
so please feel free to share in the	70 70 64 67 67 58 58 58
job what this pretty much means is you	31 31 40 40 40 31 31 40
implement these things right now	70 43 43 40 70
the details are kind of irrelevant	49 41 71 71 71 71
all right we got a lot to cover in this	68 50 50 41 41 41 41 41 41 41
probably wondering the same thing I was	79 79 79 70 67 70 70
that ' s backing up your words with proof	67 67 67 67 67 67 68 68 68
is by something called dividends	54 51 54 51 51
examples so say I have an audition for a	71 71 67 67 67 67 67 67 70
who wrote a famous essay ages ago called	77 77 49 49 49 49 49 40
being how young they are because they	71 71 71 71 71 71 67
he says he makes between 10 , 000 and $ 100 , 000 per video	49 44 79 79 52 25 25 25 52 52 52 52 52 50 80
character in the way that feels most	0 0 0 0 0 0 0
afraid to turn things down yes they	50 50 50 50 50 50 49
during that month you need to study	40 40 40 40 40 40 40
or the S & amp ; P 500 which is the 500 biggest companies	31 55 31 31 31 31 31 55 55 55 40 49 70 70
then you know you might as well do it	40 37 37 67 40 31 31 31 40
said see	79 79
and sit down and figure out how much you	79 79 79 79 79 79 79 52 79
basis of acting ability alone clients	49 49 49 71 71 71
your actual course you take that final	40 41 41 49 49 49 40
think we could greatly benefit from	77 44 44 71 71 64
then i was pretty confident that i would	79 79 80 80 80 79 79 79
where to move okay now let me talk to	41 41 41 71 71 71 71 71 71
tv and radio hosts and some other	71 44 80 71 71 71 80
something for access to that service	19 49 49 41 49 49
i recommend you just go to google and do	71 40 71 71 40 41 71 71 71
audition script if you covered up the	40 40 40 43 70 43 43
I just wanna go onto the next one	1 1 1 -159 1 21 1 79
many people aren ' t many of you may only	40 49 40 40 40 40 40 40 41 41
are some factors that are out of our	67 67 67 67 67 67 67 67
that the casting director will then	49 49 70 70 79 79
called the Part - Time YouTuber Academy	40 49 49 49 49 49 49
posted casting calls on each website	71 71 79 79 79 76
This is an idea that my brother came up with	70 70 76 52 79 52 67 67 67 67
if we wanna earn $ 100 a month passively	76 73 64 79 70 70 70 70 70
then you could live in one unit and rent	71 70 70 70 61 79 79 61 79
right because it ' s one of the biggest	0 0 0 0 0 0 0 0 0
so if you ' re interested in doing these	41 50 50 50 50 40 40 41 41
is to improvise a scenario where you	50 49 52 52 50 77 53
is by offering up our money	0 0 0 0 0 0
they end up paying	79 79 79 79
or climbing a mountain or doing cross country skiing	76 73 76 76 76 76 76 76 76
which is " God grant me the strength to accept that	79 79 79 79 79 79 79 79 79 49 79
